구분,검수 부위,세부 포함 영역
외부 부위,본넷,"엔진룸 덮개 전체, 전면 엠블럼 주변"
외부 부위,범퍼,"전면 범퍼, 후면 범퍼, 하단 스키드 플레이트"
외부 부위,그릴,"라디에이터 그릴, 하단 흡기구, 안개등 주변"
외부 부위,유리,"전면 앞유리, 측면 창문, 후면 유리"
외부 부위,사이드미러,사이드미러 커버 및 거울 표면
외부 부위,타이어,"타이어 고무 측면, 타이어 홈 오염"
외부 부위,휠,"알루미늄 또는 스틸 휠 표면, 휠 캡"
외부 부위,도어,"도어 패널, 도어 손잡이, 문틈"
외부 부위,휀더,"바퀴 주변 차체 패널, 주유구 커버"
외부 부위,트렁크,"트렁크 도어 외부, 번호판 주변"
외부 부위,루프,"차량 지붕 전체, 샤크 안테나 주변"
내부 부위,바닥재,"차량 바닥 전체 (운전석/조수석/뒷좌석 발 매트 포함, 매트 아래 바닥면, 페달 안쪽 공간)"
내부 부위,시트,"엉덩이 시트, 등받이, 머리 받침대, 시트 측면"
내부 부위,컵홀더,중앙 음료 거치 공간
내부 부위,기어 노브,"변속기 손잡이, 주변 조작 버튼, 가죽 덮개"
내부 부위,센터 콘솔,"콘솔 박스 덮개, 무선 충전 패드"
내부 부위,도어 포켓,"도어 안쪽 하단 수납공간, 도어 손잡이 안쪽 틈새"
내부 부위,도어 트림,"도어 안쪽 패널, 창문 버튼 주변"
내부 부위,핸들,"핸들 손잡이, 경적 커버, 핸들 뒤 레버"
내부 부위,글로브 박스,조수석 앞 수납함 겉면 및 내부
내부 부위,대시보드,"계기판 커버, 센터페시아 상단"
