중분류 (부위),소분류 (오염 항목),Level 1,Level 2,Level 3,Level 4
1. 운전석,모래/흙/부스러기,발판 일부에 건조한 흙먼지가 소량 비침,"발판 1개 전체가 흙먼지로 덮이거나, 발자국 1~2개","젖은 흙/진흙 발자국이 있거나, 흙/모래가 시트 까지 침범",발판 매트 섬유 깊숙이 흙/모래가 박혀 일반 청소기로 제거 불가
1. 운전석,동물 털,10가닥 미만 (자세히 봐야 식별 가능),한 좌석에 털이 육안으로 식별 가능하게 뭉쳐있음,2개 이상의 좌석에 동물털이 퍼져있고 손으로 털어낼 수 없는 수준,시트 섬유에 깊이 박혀 있거나 공기 중에 날릴 정도로 퍼져있음
1. 운전석,얼룩,지름 2cm 미만의 얼룩 자국,지름 5cm 내외의 유색 단일 얼룩 (커피/음료 등),"지름 10cm 이상의 얼룩, 또는 끈적임이 있는 액체가 굳은 자국","얼룩에 곰팡이가 피었거나, 구토물 등 생물학적 오염"
1. 운전석,쓰레기,"영수증, 마른 휴지 1개 (비위생X)","영수증, 페트병 등 쓰레기 2~3개","쓰레기 4개 이상 방치되어 있거나, 액체를 쏟은 자국","음식물 찌꺼기가 부패 중이거나, 사용한 마스크/물티슈"
2. 조수석,모래/흙/부스러기,발판 일부에 건조한 흙먼지가 소량 비침,"발판 1개 전체가 흙먼지로 덮이거나, 발자국 1~2개","젖은 흙/진흙 발자국이 있거나, 흙/모래가 시트 까지 침범",발판 매트 섬유 깊숙이 흙/모래가 박혀 일반 청소기로 제거 불가
2. 조수석,동물 털,10가닥 미만 (자세히 봐야 식별 가능),한 좌석에 털이 육안으로 식별 가능하게 뭉쳐있음,2개 이상의 좌석에 동물털이 퍼져있고 손으로 털어낼 수 없는 수준,시트 섬유에 깊이 박혀 있거나 공기 중에 날릴 정도로 퍼져있음
2. 조수석,얼룩,지름 2cm 미만의 얼룩 자국,지름 5cm 내외의 유색 단일 얼룩 (커피/음료 등),"지름 10cm 이상의 얼룩, 또는 끈적임이 있는 액체가 굳은 자국","얼룩에 곰팡이가 피었거나, 구토물 등 생물학적 오염"
2. 조수석,쓰레기,"영수증, 마른 휴지 1개 (비위생X)","영수증, 페트병 등 쓰레기 2~3개","쓰레기 4개 이상 방치되어 있거나, 액체를 쏟은 자국","음식물 찌꺼기가 부패 중이거나, 사용한 마스크/물티슈"
3. 컵홀더,센터콘솔 액체/잔여물,컵홀더 바닥에 마른 물 자국,먼지와 엉겨 붙은 음료 자국,"끈적이는 액체가 굳었거나, 빨대 껍질 등 이물질이 있음","액체가 기어 노브, 버튼 틈새로 흘러 들어가 굳은 자국"
4. 뒷좌석,모래/흙/부스러기,발판 일부에 건조한 흙먼지가 소량 비침,"발판 1개 전체가 흙먼지로 덮이거나, 발자국 1~2개","젖은 흙/진흙 발자국이 있거나, 흙/모래가 시트 까지 침범",발판 매트 섬유 깊숙이 흙/모래가 박혀 일반 청소기로 제거 불가
4. 뒷좌석,동물 털,10가닥 미만 (자세히 봐야 식별 가능),한 좌석에 털이 육안으로 식별 가능하게 뭉쳐있음,2개 이상의 좌석에 동물털이 퍼져있고 손으로 털어낼 수 없는 수준,시트 섬유에 깊이 박혀 있거나 공기 중에 날릴 정도로 퍼져있음
4. 뒷좌석,얼룩,지름 2cm 미만의 얼룩 자국,지름 5cm 내외의 유색 단일 얼룩 (커피/음료 등),"지름 10cm 이상의 얼룩, 또는 끈적임이 있는 액체가 굳은 자국","얼룩에 곰팡이가 피었거나, 구토물 등 생물학적 오염"
4. 뒷좌석,쓰레기,"영수증, 마른 휴지 1개","영수증, 페트병 등 쓰레기 2~3개","쓰레기 4개 이상 방치되어 있거나, 액체를 쏟은 자국, 빈 커피 컵","음식물 찌꺼기가 부패 중이거나, 사용한 마스크/물티슈"
5. 전면,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
5. 전면,벌레/새 배설물,벌레 사체 5개 미만,벌레 사체 10개 이상 / 새 배설물 1개 / 주차 스티커 부착,여러 개의 새 배설물이 산재하여 즉각 제거 필요,전면부 30% 이상을 벌레/새 배설물이 덮어 도장면 손상이 확실함
6. 조수석 방향,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
6. 조수석 방향,벌레/새 배설물,벌레 사체 5개 미만,벌레 사체 10개 이상 / 새 배설물 1개 / 주차 스티커 부착,새 배설물 3개 이상이 산재함 (도장면 손상 우려),스티커 끈끈이 잔여물 또는 도장면 손상 우려되는 고착 오염
6. 조수석 방향,휠/타이어 오염,휠 표면의 광택이 살아있고 소량의 분진,휠이 검은 분진으로 덮여 광택 저하,타이어까지 진흙이 덩어리로 묻어있음,휠/휠하우스에 아스팔트 타르가 검게 굳어있음
7. 운전석 방향,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
7. 운전석 방향,벌레/새 배설물,벌레 사체 5개 미만,벌레 사체 10개+ / 새 배설물 1개 / 주차 스티커 부착,새 배설물 3개 이상이 산재함 (도장면 손상 우려),스티커 끈끈이 잔여물 또는 도장면 손상 우려되는 고착 오염
7. 운전석 방향,휠/타이어 오염,휠 표면의 광택이 살아있고 소량의 분진,휠이 검은 분진으로 덮여 광택 저하,타이어까지 진흙이 덩어리로 묻어있음,휠/휠하우스에 아스팔트 타르가 검게 굳어있음
8. 후면,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
8. 후면,벌레/새 배설물,벌레 사체 5개 미만,벌레 사체 10개 이상 / 새 배설물 1개 / 주차 스티커 부착,새 배설물 3개 이상이 산재함 (도장면 손상 우려),후면부 30% 이상 고착 오염 / 스티커 끈끈이 잔여물 남음
