중분류 (부위),소분류 (오염 항목),Level 1,Level 2,Level 3,Level 4
1. 운전석,모래/흙/부스러기,발판 일부에 건조한 흙먼지가 소량 비침,"발판 1개 전체가 흙먼지로 덮이거나, 마른 발자국 1~2개","젖은 흙/진흙 발자국이 있거나, 흙/모래가 시트 레일까지 침범",발판 매트 섬유 깊숙이 흙/모래가 박혀 일반 청소기로 제거 불가
1. 운전석,동물 털,10가닥 미만 (자세히 봐야 식별 가능),한 좌석에 털이 육안으로 식별 가능하게 뭉쳐있음,"여러 좌석에 털이 퍼져있으나, 손으로 털어낼 수 있는 수준",시트 섬유에 깊이 박혀 롤러/청소기로 쉽게 제거되지 않음
1. 운전석,시트 얼룩,지름 2cm 미만의 마른 물 자국,지름 5cm 내외의 유색 단일 얼룩 (커피 등),"지름 10cm 이상의 얼룩, 끈적이는 액체가 굳은 자국, 구토물","얼룩이 곰팡이로 번졌거나, 시트 내부 스펀지까지 스며듦"
1. 운전석,얼룩/쓰레기,"영수증, 마른 휴지 1개 (비위생X)","빈 커피 컵, 과자 봉지 2~3개","음식물 찌꺼기가 남은 포장 용기, 사용한 마스크/물티슈","음식물이 변색/변형되는 등 시각적으로 부패가 확인되거나, 쓰레기가 틈새에 박혀있음"
2. 조수석,모래/흙/부스러기,발판 일부에 건조한 흙먼지가 소량 비침,"발판 1개 전체가 흙먼지로 덮이거나, 마른 발자국 1~2개","젖은 흙/진흙 발자국이 있거나, 흙/모래가 시트 레일까지 침범",발판 매트 섬유 깊숙이 흙/모래가 박혀 일반 청소기로 제거 불가
2. 조수석,동물 털,10가닥 미만 (자세히 봐야 식별 가능),한 좌석에 털이 육안으로 식별 가능하게 뭉쳐있음,"여러 좌석에 털이 퍼져있으나, 손으로 털어낼 수 있는 수준",시트 섬유에 깊이 박혀 롤러/청소기로 쉽게 제거되지 않음
2. 조수석,시트 얼룩,지름 2cm 미만의 마른 물 자국,지름 5cm 내외의 유색 단일 얼룩 (커피 등),"지름 10cm 이상의 얼룩, 끈적이는 액체가 굳은 자국, 구토물","얼룩이 곰팡이로 번졌거나, 시트 내부 스펀지까지 스며듦"
2. 조수석,얼룩/쓰레기,"영수증, 마른 휴지 1개 (비위생X)","빈 커피 컵, 과자 봉지 2~3개","음식물 찌꺼기가 남은 포장 용기, 사용한 마스크/물티슈","음식물이 변색/변형되는 등 시각적으로 부패가 확인되거나, 쓰레기가 틈새에 박혀있음"
3. 컵홀더,컵홀더 오염,컵홀더 바닥에 마른 물 자국,먼지와 엉겨 붙은 음료 자국 (끈적임 없음),"끈적이는 액체가 굳었거나, 빨대 껍질 등 이물질이 있음",액체가 전자 기기(기어봉 주변) 틈새로 흘러 들어감
4. 뒷좌석,모래/흙/부스러기,발판 일부에 건조한 흙먼지가 소량 비침,"발판 1개 전체가 흙먼지로 덮이거나, 마른 발자국 1~2개","젖은 흙/진흙 발자국이 있거나, 흙/모래가 시트 레일까지 침범",발판 매트 섬유 깊숙이 흙/모래가 박혀 일반 청소기로 제거 불가
