구분,오염 항목,Level 0,Level 1,Level 2,Level 3,Level 4
외부 오염,새 배설물,오염이나 흔적 없음,-,1개에서 2개의 새 배설물이 발견됨,새 배설물 3개 이상이 여기저기 흩어져 도장면 손상 우려됨,전체 면적의 30% 이상에 새 배설물이 눌어붙어 도장면 부식 진행됨
외부 오염,나무 수액,오염이나 흔적 없음,-,투명하거나 끈적이는 수액 방울이 1개에서 2개 발견됨,수액 방울이 3개 이상 산재하거나 도장면에 끈적임이 남음,본넷이나 루프 전체에 수액이 흩뿌려져 딱딱하게 굳어버림
외부 오염,진흙 및 흙탕물,오염이나 흔적 없음,광택만 살짝 저하된 얇은 흙먼지,빗물과 흙이 섞여 도장면의 색이 탁하게 보임,패널 면적의 50% 이상을 흙탕물이 덮어 차량 원래 색을 가림,회색 시멘트 물이나 유색 페인트 자국이 선명하게 확인됨
외부 오염,스티커,부착물 없음,-,주차 위반 스티커 또는 경고장 1개가 부착됨,스티커가 2개 이상 부착되거나 운전자의 시야를 방해함,스티커를 떼어낸 후 끈끈이 잔여물이나 종이 흔적이 남음
외부 오염,벌레 사체,오염이나 흔적 없음,벌레 사체가 5개 미만으로 보임,벌레 사체가 10개 미만으로 보임,벌레 사체가 10개 이상이거나 뭉쳐있는 군집 형태가 확인됨,차량 전면부의 30% 이상이 벌레 사체로 뒤덮여 딱딱하게 굳음
외부 오염,눈,주행에 방해되지 않는 적설 상태,"본넷,루프 적설 허용.
번호판,램프 가림이나 앞유리 눈도 고객이 털어낼 수 있는 연질 상태면 허용","앞유리에 성에가 두껍게 끼거나 눈이 얼어붙어,
도구(스크래퍼)나 온수 없이 와이퍼만으로는 시야 확보 불가","폭설로 시야 확보 불가,
램프류 결빙으로 야간 주행 불가 (현장 제거 필수)","결빙으로 도어 개방이 불가능하거나,
차량이 눈더미에 고립되어 견인없이 이동 불가"
외부 오염,낙엽,"낙엽이 없거나 도장면 위에 얹혀 있는 소량의 마른 낙엽
(주행 시 제거됨)","와이퍼, 그릴, 배수구 틈새 안쪽에 낙엽이 끼어 뭉쳐있음",젖은 낙엽 덩어리가 앞유리에 흡착되어 와이퍼로도 닦이지 않고 시야를 가리는 상태,"낙엽의 타닌 성분으로 인해 도장면에 갈색 얼룩이 침투해 광택 작업이 필요하거나,
카울 커버 안쪽으로 낙엽 펄프가 들어가 분해 청소가 필요한 상태",-
외부 오염,염화칼슘,얼룩 없음,도장면에 하얀 가루/띠 형성 허용. 유리창과 사이드미러 시야만 확보되면 세차 안 함,"염화칼슘 얼룩이 유리를 덮어 시야를 방해하거나, 도장면에 두꺼운 층을 형성",차체 전반에 하얀색 또는 회백색 띠가 선명하게 형성됨,염화칼슘 층이 두껍게 굳어 도장면 부식이 우려되는 상태
외부 오염,타이어 분진,분진이나 진흙 없음,검은 분진으로 덮여 휠의 광택이 사라짐 (은색이 회색으로 보임),타이어 고무 부분까지 진흙 덩어리가 묻어있음,휠이나 휠하우스 안쪽에 검은색 타르가 점박이 형태로 굳음,-
내부 오염,모래 및 흙,육안으로 확인되는 이물질 없음,매트 일부에 건조한 흙먼지나 모래 알갱이가 소량 보임,"매트 전체가 흙먼지, 모래, 갈색 부스러기(식물 잔여물)로 덮이거나 선명한 발자국 확인됨",젖은 진흙 덩어리가 있거나 매트 밖 바닥재까지 흙이 넘침,진흙이 굳어 매트 고유의 직물 패턴이 보이지 않는 상태
내부 오염,동물 털,털이 전혀 없는 상태,10가닥 미만으로 자세히 봐야 식별 가능함,눈에 띄게 뭉쳐진 털 뭉치가 한 좌석에서 발견됨,2개 이상의 좌석에 털이 퍼져있으나 손으로 제거 가능함,시트 직물 사이사이에 털이 엉켜있거나 전체 면적을 뒤덮음
내부 오염,시트 얼룩,얼룩이나 자국 없음,지름 2cm 미만의 색깔 없는 물기 건조 자국,지름 5cm 내외의 눈에 띄는 유색 얼룩 (커피 또는 음료 등),지름 10cm 이상의 큰 얼룩 또는 얼룩 3개 이상이 흩어져 있음,광택이 돌며 굳어있는 액체 덩어리 또는 곰팡이 검은 반점
내부 오염,쓰레기,쓰레기 없음,영수증이나 마른 휴지 1개,"빈 컵, 과자 봉지, 비닐류 등 쓰레기 2~3개",쓰레기 4개 이상 방치되어 있거나 액체를 쏟은 흔적이 있음,음식물이 부패하여 변색되었거나 사용한 마스크 또는 물티슈 있음
내부 오염,구토,오염이나 흔적 없음,-,건조되어 부피감이 없는 5cm 미만의 미세한 잔여물 흔적,액체와 고형물(음식물 찌꺼기)이 섞여 있거나 젖어있는 상태,"시트 타공 부위, 버튼 틈새, 스피커 안쪽으로 오염물이 스며들어 제거가 불가한 상태"
내부 오염,담배 및 담뱃재,흔적 없음,-,컵홀더나 바닥 틈새에 하얀색 또는 회색 담뱃재 가루가 확인됨,담배 꽁초가 발견되거나 담뱃재가 다량 흩어져 있음,시트나 내장재에 담배로 인한 화상 자국 또는 재가 눌어붙음
내부 오염,분실물,개인 물품 없음,-,"의류(모자, 장갑), 우산, 다회용 텀블러 등 일반 소지품 발견됨","지갑, 휴대폰, 차키, 신분증, 현금 등 고가의 귀중품 발견됨",-
